	Genome	Original_name	Study_set	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	CMseq	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	MGnify_accession	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
25658	GUT_GENOME031806	ERR1190543_bin.16	EBI	MAG	2093052	146	20645	60.0	95.97	0.95	0.92	0.0	0.0	0.0	17	ERZ877191	GUT_GENOME031806	MGYG-HGUT-00797	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	ERS1015618	ERP013562	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-007/MGYG-HGUT-00797/genomes1/GUT_GENOME031806.gff.gz
25768	GUT_GENOME031916	ERR1190549_bin.6	EBI	MAG	2225766	110	33358	59.83	97.58	0.81	0.17	0.0	0.0	0.0	18	ERZ877295	GUT_GENOME031916	MGYG-HGUT-00798	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	ERS1015624	ERP013562	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-007/MGYG-HGUT-00798/genomes1/GUT_GENOME031916.gff.gz
26209	GUT_GENOME032358	ERR1190573_bin.42	EBI	MAG	802735	12	116755	58.84	56.9	0.0	0.01	0.0	0.0	0.0	10	ERZ877770	GUT_GENOME032358	MGYG-HGUT-00799	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	ERS1015648	ERP013562	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-007/MGYG-HGUT-00799/genomes1/GUT_GENOME032358.gff.gz
26256	GUT_GENOME032405	ERR1190576_bin.39	EBI	MAG	1514512	367	4333	32.03	67.88	1.12	0.86	0.0	0.0	14.74	13	ERZ877820	GUT_GENOME032405	MGYG-HGUT-00800	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_B;s__	ERS1015651	ERP013562	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00800/genomes1/GUT_GENOME032405.gff.gz
26266	GUT_GENOME032415	ERR1190576_bin.6	EBI	MAG	2156276	62	58109	60.06	98.39	0.81	0.02	94.12	23.48	10.94	18	ERZ877825	GUT_GENOME032415	MGYG-HGUT-00801	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	ERS1015651	ERP013562	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00801/genomes1/GUT_GENOME032415.gff.gz
26411	GUT_GENOME032561	ERR1190584_bin.4	EBI	MAG	2225126	34	96606	59.85	100.0	0.81	0.01	0.0	34.12	0.0	19	ERZ877988	GUT_GENOME032561	MGYG-HGUT-00802	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	ERS1015659	ERP013562	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00802/genomes1/GUT_GENOME032561.gff.gz
26483	GUT_GENOME032633	ERR1190589_bin.73	EBI	MAG	542109	4	404062	28.31	97.31	1.15	0.01	65.55	99.67	99.66	20	ERZ878062	GUT_GENOME032633	MGYG-HGUT-00803	d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__;s__	ERS1015664	ERP013562	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00803/genomes1/GUT_GENOME032633.gff.gz
26558	GUT_GENOME032708	ERR1190594_bin.23	EBI	MAG	1086892	7	208800	50.83	63.98	0.31	0.01	0.0	0.0	0.0	18	ERZ878166	GUT_GENOME032708	MGYG-HGUT-00804	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__	ERS1015669	ERP013562	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00804/genomes1/GUT_GENOME032708.gff.gz
26607	GUT_GENOME032757	ERR1190597_bin.27	EBI	MAG	2084829	116	25965	60.21	95.97	1.61	0.15	0.0	70.58	0.0	19	ERZ878210	GUT_GENOME032757	MGYG-HGUT-00805	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	ERS1015672	ERP013562	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00805/genomes1/GUT_GENOME032757.gff.gz
26816	GUT_GENOME032966	ERR1190610_bin.12	EBI	MAG	2686211	160	26894	41.26	95.85	0.0	0.43	0.0	0.0	5.47	17	ERZ878443	GUT_GENOME032966	MGYG-HGUT-00806	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	ERS1015685	ERP013562	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00806/genomes1/GUT_GENOME032966.gff.gz
26965	GUT_GENOME033115	ERR1190619_bin.28	EBI	MAG	2221047	52	97586	33.14	98.59	3.52	0.0	94.12	0.0	11.38	16	ERZ878611	GUT_GENOME033115	MGYG-HGUT-00807	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales;f__Anaerofustaceae;g__Anaerofustis;s__	ERS1015694	ERP013562	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00807/genomes1/GUT_GENOME033115.gff.gz
26981	GUT_GENOME033131	ERR1190619_bin.67	EBI	MAG	1884951	335	6878	63.65	64.67	2.01	0.53	0.0	0.0	0.0	10	ERZ878602	GUT_GENOME033131	MGYG-HGUT-00808	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	ERS1015694	ERP013562	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00808/genomes1/GUT_GENOME033131.gff.gz
27140	GUT_GENOME033290	ERR1190626_bin.35	EBI	MAG	2343519	33	111174	54.5	90.94	2.01	0.01	93.28	0.0	10.67	17	ERZ878769	GUT_GENOME033290	MGYG-HGUT-00809	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1691;s__	ERS1015701	ERP013562	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00809/genomes1/GUT_GENOME033290.gff.gz
27497	GUT_GENOME033647	ERR1190646_bin.18	EBI	MAG	2278510	38	88683	62.16	95.5	0.62	0.0	0.0	0.0	0.0	19	ERZ879168	GUT_GENOME033647	MGYG-HGUT-00810	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__	ERS1015721	ERP013562	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00810/genomes1/GUT_GENOME033647.gff.gz
27555	GUT_GENOME033705	ERR1190649_bin.31	EBI	MAG	2115809	21	159007	59.7	94.35	0.81	0.01	0.0	0.0	0.0	19	ERZ879241	GUT_GENOME033705	MGYG-HGUT-00811	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	ERS1015724	ERP013562	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00811/genomes1/GUT_GENOME033705.gff.gz
27689	GUT_GENOME033839	ERR1190655_bin.40	EBI	MAG	1921914	21	122711	59.84	85.48	0.81	0.01	0.0	0.0	0.0	19	ERZ879382	GUT_GENOME033839	MGYG-HGUT-00812	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	ERS1015730	ERP013562	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00812/genomes1/GUT_GENOME033839.gff.gz
27725	GUT_GENOME033875	ERR1190657_bin.27	EBI	MAG	1978596	8	464336	30.6	88.89	1.28	0.0	0.0	0.0	0.0	20	ERZ879419	GUT_GENOME033875	MGYG-HGUT-00813	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Zag1;s__Zag1 sp000437435	ERS1015732	ERP013562	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00813/genomes1/GUT_GENOME033875.gff.gz
28020	GUT_GENOME034170	ERR1190721_bin.6	EBI	MAG	1710044	104	22117	48.19	87.44	0.0	0.16	0.0	23.29	0.0	17	ERZ879706	GUT_GENOME034170	MGYG-HGUT-00814	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAG-521;s__	ERS1015796	ERP013562	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00814/genomes1/GUT_GENOME034170.gff.gz
28028	GUT_GENOME034178	ERR1190731_bin.19	EBI	MAG	4510901	20	390858	37.63	100.0	0.0	0.0	0.0	0.0	0.0	20	ERZ879722	GUT_GENOME034178	MGYG-HGUT-00815	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;s__Dysgonomonas capnocytophagoides	ERS1015806	ERP013562	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00815/genomes1/GUT_GENOME034178.gff.gz
28033	GUT_GENOME034183	ERR1190731_bin.28	EBI	MAG	2295711	525	4728	32.86	72.21	0.81	0.5	0.0	0.0	0.0	12	ERZ879731	GUT_GENOME034183	MGYG-HGUT-00816	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_X;s__	ERS1015806	ERP013562	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00816/genomes1/GUT_GENOME034183.gff.gz
28167	GUT_GENOME034317	ERR1190792_bin.68	EBI	MAG	2136964	123	22787	33.87	96.23	0.0	0.15	0.0	0.0	0.0	15	ERZ869227	GUT_GENOME034317	MGYG-HGUT-00817	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__	ERS1015867	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00817/genomes1/GUT_GENOME034317.gff.gz
28236	GUT_GENOME034386	ERR1190796_bin.21	EBI	MAG	1248586	265	5088	38.5	66.95	2.94	0.78	0.0	0.0	0.0	4	ERZ869315	GUT_GENOME034386	MGYG-HGUT-00818	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__	ERS1015871	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00818/genomes1/GUT_GENOME034386.gff.gz
28296	GUT_GENOME034446	ERR1190798_bin.50	EBI	MAG	1738383	76	36896	64.64	64.92	1.22	0.32	0.0	0.0	0.0	18	ERZ869370	GUT_GENOME034446	MGYG-HGUT-00819	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__;s__	ERS1015873	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00819/genomes1/GUT_GENOME034446.gff.gz
28524	GUT_GENOME034674	ERR1190811_bin.41	EBI	MAG	2712076	35	124370	45.36	96.31	0.0	0.0	94.12	0.0	11.25	15	ERZ869618	GUT_GENOME034674	MGYG-HGUT-00820	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales;f__UBA9506;g__UBA9506;s__UBA9506 sp003506415	ERS1015886	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00820/genomes1/GUT_GENOME034674.gff.gz
28612	GUT_GENOME034763	ERR1190815_bin.47	EBI	MAG	2141919	117	30715	66.45	95.8	0.0	0.01	0.0	0.0	0.0	18	ERZ869721	GUT_GENOME034763	MGYG-HGUT-00821	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__	ERS1015890	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00821/genomes1/GUT_GENOME034763.gff.gz
28780	GUT_GENOME034932	ERR1190822_bin.36	EBI	MAG	2370791	60	54497	35.6	96.34	0.79	0.0	0.0	0.0	0.0	16	ERZ869895	GUT_GENOME034932	MGYG-HGUT-00822	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_K;s__Lactobacillus_K farciminis_A	ERS1015897	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00822/genomes1/GUT_GENOME034932.gff.gz
28803	GUT_GENOME034955	ERR1190823_bin.109	EBI	MAG	2131500	61	45818	57.89	89.12	1.92	0.38	0.0	0.0	0.0	14	ERZ870199	GUT_GENOME034955	MGYG-HGUT-00823	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	ERS1015898	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00823/genomes1/GUT_GENOME034955.gff.gz
28805	GUT_GENOME034957	ERR1190823_bin.114	EBI	MAG	2120674	213	12785	56.73	81.99	1.67	0.86	0.0	0.0	10.74	10	ERZ870148	GUT_GENOME034957	MGYG-HGUT-00824	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__;s__	ERS1015898	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00824/genomes1/GUT_GENOME034957.gff.gz
28837	GUT_GENOME034989	ERR1190823_bin.68	EBI	MAG	2700478	40	102045	52.61	96.98	1.07	0.02	0.0	0.0	10.91	17	ERZ870167	GUT_GENOME034989	MGYG-HGUT-00825	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	ERS1015898	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00825/genomes1/GUT_GENOME034989.gff.gz
29042	GUT_GENOME035196	ERR1190833_bin.48	EBI	MAG	2075639	107	28198	60.26	92.28	2.62	0.17	0.0	0.0	0.0	17	ERZ870401	GUT_GENOME035196	MGYG-HGUT-00826	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	ERS1015908	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00826/genomes1/GUT_GENOME035196.gff.gz
29234	GUT_GENOME035389	ERR1190842_bin.26	EBI	MAG	2287148	36	104496	59.93	99.19	1.61	0.02	94.12	0.0	99.45	19	ERZ870625	GUT_GENOME035389	MGYG-HGUT-00827	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	ERS1015917	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00827/genomes1/GUT_GENOME035389.gff.gz
29355	GUT_GENOME035511	ERR1190848_bin.16	EBI	MAG	1512681	20	125469	42.33	61.4	1.75	0.01	0.0	0.0	11.25	8	ERZ870758	GUT_GENOME035511	MGYG-HGUT-00828	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__	ERS1015923	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00828/genomes1/GUT_GENOME035511.gff.gz
29356	GUT_GENOME035512	ERR1190848_bin.18	EBI	MAG	2305677	94	36225	59.74	99.19	0.81	0.2	95.8	0.0	10.56	20	ERZ870757	GUT_GENOME035512	MGYG-HGUT-00829	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__UBA7748;s__UBA7748 sp900314535	ERS1015923	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00829/genomes1/GUT_GENOME035512.gff.gz
29363	GUT_GENOME035519	ERR1190848_bin.35	EBI	MAG	2260107	90	41764	60.14	99.91	2.42	0.16	94.12	0.0	10.94	18	ERZ870751	GUT_GENOME035519	MGYG-HGUT-00830	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	ERS1015923	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00830/genomes1/GUT_GENOME035519.gff.gz
29585	GUT_GENOME035741	ERR1190859_bin.40	EBI	MAG	2510351	155	25893	59.13	79.31	1.72	0.06	94.12	0.0	0.0	16	ERZ870999	GUT_GENOME035741	MGYG-HGUT-00831	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	ERS1015934	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00831/genomes1/GUT_GENOME035741.gff.gz
29594	GUT_GENOME035750	ERR1190860_bin.15	EBI	MAG	2218408	37	88905	59.75	99.19	0.81	0.0	0.0	0.0	0.0	18	ERZ871011	GUT_GENOME035750	MGYG-HGUT-00832	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	ERS1015935	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00832/genomes1/GUT_GENOME035750.gff.gz
29636	GUT_GENOME035792	ERR1190862_bin.42	EBI	MAG	2326911	27	110825	59.8	99.19	0.81	0.01	94.12	51.6	61.26	18	ERZ871051	GUT_GENOME035792	MGYG-HGUT-00833	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	ERS1015937	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00833/genomes1/GUT_GENOME035792.gff.gz
29716	GUT_GENOME035872	ERR1190866_bin.23	EBI	MAG	1945832	197	13841	59.67	85.55	1.4	1.44	0.0	0.0	0.0	12	ERZ871143	GUT_GENOME035872	MGYG-HGUT-00834	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	ERS1015941	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00834/genomes1/GUT_GENOME035872.gff.gz
29751	GUT_GENOME035907	ERR1190868_bin.34	EBI	MAG	2188673	98	32815	59.92	96.45	4.23	0.41	89.08	0.0	0.0	19	ERZ871193	GUT_GENOME035907	MGYG-HGUT-00835	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	ERS1015943	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00835/genomes1/GUT_GENOME035907.gff.gz
30135	GUT_GENOME036292	ERR1190889_bin.47	EBI	MAG	1764500	33	102818	45.4	93.35	0.81	0.02	93.28	23.09	98.19	19	ERZ871582	GUT_GENOME036292	MGYG-HGUT-00836	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-727;g__UBA10281;s__UBA10281 sp000437515	ERS1015964	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00836/genomes1/GUT_GENOME036292.gff.gz
30343	GUT_GENOME036500	ERR1190896_bin.14	EBI	MAG	2171635	123	23331	57.37	93.66	0.34	0.09	0.0	0.0	0.0	13	ERZ871810	GUT_GENOME036500	MGYG-HGUT-00837	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	ERS1015971	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00837/genomes1/GUT_GENOME036500.gff.gz
30494	GUT_GENOME036651	ERR1190900_bin.33	EBI	MAG	1767761	295	6663	59.17	71.53	3.83	1.78	0.0	0.0	0.0	9	ERZ871980	GUT_GENOME036651	MGYG-HGUT-00838	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__	ERS1015975	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00838/genomes1/GUT_GENOME036651.gff.gz
30606	GUT_GENOME036763	ERR1190903_bin.78	EBI	MAG	2735655	79	72388	26.81	96.77	0.0	0.01	94.96	0.0	0.0	20	ERZ872083	GUT_GENOME036763	MGYG-HGUT-00839	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	ERS1015978	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00839/genomes1/GUT_GENOME036763.gff.gz
30696	GUT_GENOME036853	ERR1190909_bin.32	EBI	MAG	2579152	47	82348	60.0	97.52	0.16	0.02	95.8	0.0	5.47	19	ERZ872207	GUT_GENOME036853	MGYG-HGUT-00840	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__	ERS1015984	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00840/genomes1/GUT_GENOME036853.gff.gz
30742	GUT_GENOME036899	ERR1190910_bin.59	EBI	MAG	2174241	42	99567	57.49	96.64	1.01	0.2	0.0	0.0	12.99	15	ERZ872217	GUT_GENOME036899	MGYG-HGUT-00841	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	ERS1015985	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00841/genomes1/GUT_GENOME036899.gff.gz
30912	GUT_GENOME037069	ERR1190917_bin.32	EBI	MAG	1846287	26	103923	62.35	100.0	0.81	0.01	0.0	0.0	0.0	20	ERZ872418	GUT_GENOME037069	MGYG-HGUT-00842	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	ERS1015992	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00842/genomes1/GUT_GENOME037069.gff.gz
31047	GUT_GENOME037207	ERR1190924_bin.18	EBI	MAG	2470970	35	101458	53.36	98.95	0.52	0.01	93.28	0.0	11.04	16	ERZ872564	GUT_GENOME037207	MGYG-HGUT-00843	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_C;s__	ERS1015999	ERP013563	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00843/genomes1/GUT_GENOME037207.gff.gz
